timepoints,x_1,x_5,x_2,x_3,x_4,x_6,x_vcc,x_vin
12.812500,1.101085,2.121783,1.090751,0.001281,0.000005,10.000004,-0.014448,-22.973685
13.062500,1.119473,2.138435,1.109138,0.001306,0.000006,10.000004,-0.014439,-21.377596
13.562500,1.150894,2.165802,1.140558,0.001356,0.000006,10.000003,-0.014423,-18.048587
14.562500,1.191589,2.195299,1.181246,0.001456,0.000007,10.000002,-0.014403,-11.095595
16.562500,1.199615,2.143649,1.189170,0.001656,0.000010,10.000000,-0.014399,1.777377
20.562500,1.199787,1.720213,1.188695,0.002056,0.000015,10.000000,-0.014398,10.585893
28.562500,1.200129,1.415316,1.187745,0.002856,0.000024,10.000000,-0.014397,3.811206
44.562500,1.200814,1.473892,1.185847,0.004455,0.000043,10.000000,-0.014395,-0.366097
76.562500,1.202183,1.500880,1.182065,0.007653,0.000082,10.000000,-0.014391,-0.084339
140.562500,1.204920,1.500134,1.174548,0.014044,0.000159,10.000000,-0.014383,0.001167
268.562500,1.210391,1.499999,1.159704,0.026809,0.000314,10.000000,-0.014368,0.000105
524.562500,1.221315,1.500000,1.130756,0.052275,0.000626,10.000000,-0.014337,-0.000000
1036.562500,1.243097,1.500000,1.075681,0.102948,0.001262,10.000000,-0.014276,-0.000000
2060.562500,1.286395,1.500000,0.975764,0.203267,0.002577,10.000000,-0.014154,-0.000000
4108.562500,1.371122,1.500000,0.810598,0.399877,0.005374,10.000000,-0.013915,-0.000000
8204.562500,1.378356,1.500000,0.692386,0.777626,0.010975,10.000000,-0.013533,-0.000040
9228.562500,1.361591,1.500000,0.682693,0.871106,0.012356,10.000000,-0.013448,-0.000059
11276.562500,1.313214,1.500000,0.679552,1.054313,0.015015,10.000000,-0.013289,-0.000066
11788.562500,1.300725,1.500000,0.679221,1.099882,0.015673,10.000000,-0.013250,-0.000067
12812.562500,1.275440,1.500000,0.679047,1.190095,0.016962,10.000000,-0.013172,-0.000068
14860.562500,1.225209,1.500000,0.678994,1.366901,0.019431,10.000000,-0.013020,-0.000068
15372.562500,1.212683,1.500000,0.678988,1.410878,0.020042,10.000000,-0.012983,-0.000068
16396.562500,1.187777,1.500000,0.678985,1.497939,0.021236,10.000000,-0.012908,-0.000068
18444.562500,1.138570,1.500000,0.678985,1.668566,0.023520,10.000000,-0.012762,-0.000068
18956.562500,1.126306,1.500000,0.678984,1.711006,0.024084,10.000000,-0.012726,-0.000068
19980.562500,1.101929,1.500000,0.678984,1.795025,0.025187,10.000000,-0.012654,-0.000068
22028.562500,1.053771,1.500000,0.678984,1.959691,0.027289,10.000000,-0.012513,-0.000068
22540.562500,1.041768,1.500000,0.678984,2.000647,0.027808,10.000000,-0.012478,-0.000068
23564.562500,1.017911,1.500000,0.678984,2.081730,0.028821,10.000000,-0.012409,-0.000068
25612.562500,0.970782,1.500000,0.678984,2.240642,0.030746,10.000000,-0.012274,-0.000068
26124.562500,0.959036,1.500000,0.678984,2.280168,0.031221,10.000000,-0.012240,-0.000068
27148.562500,0.935691,1.500000,0.678983,2.358417,0.032146,10.000000,-0.012174,-0.000068
29196.562500,0.889610,1.500000,0.678978,2.511776,0.033899,10.000000,-0.012043,-0.000070
29708.562500,0.878132,1.500000,0.678976,2.549921,0.034331,10.000000,-0.012011,-0.000071
30732.562500,0.855369,1.500000,0.678963,2.625436,0.035171,10.000000,-0.011947,-0.000075
32780.562500,0.811167,1.500000,0.678857,2.773436,0.036757,10.000000,-0.011821,-0.000108
33292.562500,0.800290,1.500000,0.678802,2.810248,0.037148,10.000000,-0.011790,-0.000129
34316.562500,0.779581,1.500000,0.678572,2.883125,0.037907,10.000000,-0.011727,-0.000205
36364.562500,0.746704,1.500000,0.677450,3.025953,0.039356,10.000000,-0.011601,-0.000558
36876.562500,0.739493,1.500000,0.677016,3.061478,0.039714,10.000000,-0.011569,-0.000717
37900.562500,0.728824,1.500000,0.675973,3.131809,0.040419,10.000000,-0.011504,-0.001049
39948.562500,0.718020,1.500000,0.674305,3.269646,0.041804,10.000000,-0.011371,-0.001561
40460.562500,0.715957,1.500000,0.673914,3.303930,0.042149,10.000000,-0.011338,-0.001685
41484.562500,0.713409,1.500000,0.673351,3.371803,0.042835,10.000000,-0.011271,-0.001853
43532.562500,0.711183,1.500000,0.672801,3.504824,0.044201,10.000000,-0.011140,-0.002015
44044.562500,0.710766,1.500000,0.672694,3.537910,0.044543,10.000000,-0.011107,-0.002047
45068.562500,0.710266,1.500000,0.672560,3.603411,0.045224,10.000000,-0.011041,-0.002085
47116.562500,0.709839,1.500000,0.672443,3.731784,0.046582,10.000000,-0.010913,-0.002119
47628.562500,0.709759,1.500000,0.672421,3.763714,0.046921,10.000000,-0.010881,-0.002125
48652.562500,0.709664,1.500000,0.672395,3.826926,0.047599,10.000000,-0.010818,-0.002133
50700.562500,0.709584,1.500000,0.672372,3.950813,0.048952,10.000000,-0.010694,-0.002140
51212.562500,0.709569,1.500000,0.672368,3.981627,0.049290,10.000000,-0.010664,-0.002141
52236.562500,0.709552,1.500000,0.672363,4.042631,0.049966,10.000000,-0.010603,-0.002142
54284.562500,0.709538,1.500000,0.672359,4.162189,0.051314,10.000000,-0.010483,-0.002143
54796.562500,0.709535,1.500000,0.672359,4.191927,0.051651,10.000000,-0.010453,-0.002144
55820.562500,0.709532,1.500000,0.672358,4.250798,0.052324,10.000000,-0.010394,-0.002144
57868.562500,0.709531,1.500000,0.672357,4.366179,0.053667,10.000000,-0.010279,-0.002144
58380.562500,0.709531,1.500000,0.672357,4.394877,0.054002,10.000000,-0.010250,-0.002144
59404.562500,0.709531,1.500000,0.672357,4.451692,0.054673,10.000000,-0.010194,-0.002144
61452.562500,0.709532,1.500000,0.672357,4.563041,0.056011,10.000000,-0.010082,-0.002144
61964.562500,0.709532,1.500000,0.672357,4.590736,0.056346,10.000000,-0.010054,-0.002144
62988.562500,0.709533,1.500000,0.672358,4.645566,0.057014,10.000000,-0.010000,-0.002144
65036.562500,0.709534,1.500000,0.672358,4.753024,0.058348,10.000000,-0.009892,-0.002144
65548.562500,0.709535,1.500000,0.672358,4.779752,0.058681,10.000000,-0.009865,-0.002144
66572.562500,0.709536,1.500000,0.672358,4.832665,0.059347,10.000000,-0.009813,-0.002143
68620.562500,0.709537,1.500000,0.672359,4.936368,0.060675,10.000000,-0.009709,-0.002143
69132.562500,0.709538,1.500000,0.672359,4.962162,0.061008,10.000000,-0.009683,-0.002143
70156.562500,0.709538,1.500000,0.672359,5.013227,0.061671,10.000000,-0.009632,-0.002143
72204.562500,0.709540,1.500000,0.672359,5.113306,0.062995,10.000000,-0.009532,-0.002143
72716.562500,0.709540,1.500000,0.672359,5.138198,0.063326,10.000000,-0.009507,-0.002143
73740.562500,0.709541,1.500000,0.672359,5.187479,0.063987,10.000000,-0.009458,-0.002143
75788.562500,0.709543,1.500000,0.672360,5.284061,0.065306,10.000000,-0.009361,-0.002143
